# Time-averaged data for fix dave
# TimeStep v_massdensity
19428000 0.867353
19429000 0.867356
19430000 0.867357
19431000 0.867359
19432000 0.867359
19433000 0.867361
19434000 0.867362
19435000 0.867362
19436000 0.867363
19437000 0.867365
19438000 0.867366
19439000 0.867367
19440000 0.86737
19441000 0.867371
19442000 0.86737
19443000 0.867368
19444000 0.86737
19445000 0.867372
19446000 0.867373
19447000 0.867374
19448000 0.867376
19449000 0.867376
19450000 0.867378
19451000 0.867379
19452000 0.867381
19453000 0.867383
19454000 0.867385
19455000 0.867385
19456000 0.867386
19457000 0.867388
19458000 0.867389
19459000 0.86739
19460000 0.867392
19461000 0.867392
19462000 0.867393
19463000 0.867393
19464000 0.867393
19465000 0.867392
19466000 0.867392
19467000 0.867391
19468000 0.86739
19469000 0.867388
19470000 0.867389
19471000 0.86739
19472000 0.867391
19473000 0.867393
19474000 0.867395
19475000 0.867396
19476000 0.867397
19477000 0.867398
19478000 0.867399
19479000 0.867401
19480000 0.867402
19481000 0.867403
19482000 0.867404
19483000 0.867403
19484000 0.867404
19485000 0.867405
19486000 0.867407
19487000 0.867408
19488000 0.867409
19489000 0.867412
19490000 0.867413
19491000 0.867416
19492000 0.867418
19493000 0.867418
19494000 0.86742
19495000 0.86742
19496000 0.867419
19497000 0.86742
19498000 0.867421
19499000 0.867421
19500000 0.867421
19501000 0.867421
19502000 0.867421
19503000 0.867422
19504000 0.867423
19505000 0.867424
19506000 0.867424
19507000 0.867424
19508000 0.867423
19509000 0.867424
19510000 0.867423
19511000 0.867423
19512000 0.867425
19513000 0.867424
19514000 0.867424
19515000 0.867425
19516000 0.867428
19517000 0.86743
19518000 0.86743
19519000 0.86743
19520000 0.867431
19521000 0.867431
19522000 0.86743
19523000 0.867432
19524000 0.867433
19525000 0.867433
19526000 0.867436
19527000 0.867437
19528000 0.867439
19529000 0.867441
19530000 0.867443
19531000 0.867444
19532000 0.867443
19533000 0.867444
19534000 0.867444
19535000 0.867444
19536000 0.867443
19537000 0.867443
19538000 0.867443
19539000 0.867442
19540000 0.867442
19541000 0.867442
19542000 0.867442
19543000 0.867444
