# Time-averaged data for fix pave
# TimeStep v_pressure
13388000 939.651
13389000 939.615
13390000 939.616
13391000 939.415
13392000 939.2
13393000 938.903
13394000 939.09
13395000 939.203
13396000 939.044
13397000 938.924
13398000 938.94
13399000 938.976
13400000 939.095
13401000 938.888
13402000 938.705
13403000 938.615
13404000 938.472
13405000 938.335
13406000 937.842
13407000 937.598
13408000 937.455
13409000 937.501
13410000 937.408
13411000 937.231
13412000 936.868
13413000 936.797
13414000 936.573
13415000 936.459
13416000 936.588
13417000 936.716
13418000 936.981
13419000 937.207
13420000 937.329
13421000 937.714
13422000 937.899
13423000 938.288
13424000 938.672
13425000 938.847
13426000 939.027
13427000 939.225
13428000 939.479
13429000 939.387
13430000 939.503
13431000 939.645
13432000 939.61
13433000 939.604
13434000 939.793
13435000 939.871
13436000 939.871
13437000 940.052
13438000 940.215
13439000 940.407
13440000 940.532
13441000 940.71
13442000 940.938
13443000 941.159
13444000 941.219
13445000 941.171
13446000 941.062
13447000 941.422
13448000 941.45
13449000 941.599
13450000 941.705
13451000 941.634
13452000 941.454
13453000 941.277
13454000 941.101
13455000 941.027
13456000 940.895
13457000 940.666
13458000 940.547
13459000 940.478
13460000 940.297
13461000 939.971
13462000 939.849
13463000 939.61
13464000 939.194
13465000 938.773
13466000 938.38
13467000 938.346
13468000 938.161
13469000 937.917
13470000 937.813
13471000 937.529
13472000 937.236
13473000 937.154
13474000 937.017
13475000 936.871
13476000 936.869
13477000 936.909
13478000 936.847
13479000 936.772
13480000 936.649
13481000 936.622
13482000 936.624
13483000 936.397
13484000 936.497
13485000 936.67
13486000 936.721
13487000 936.707
13488000 936.823
13489000 937.147
13490000 937.353
13491000 937.099
13492000 937.159
13493000 937.055
13494000 936.863
13495000 936.712
13496000 936.826
13497000 936.797
13498000 936.705
13499000 936.595
13500000 936.309
13501000 936.275
13502000 936.078
13503000 935.848
13504000 935.877
13505000 935.831
13506000 935.52
13507000 935.468
13508000 935.458
13509000 935.299
13510000 935.007
13511000 934.791
13512000 934.572
13513000 934.509
13514000 934.617
13515000 934.556
13516000 934.553
13517000 934.666
13518000 934.64
13519000 934.516
13520000 934.624
13521000 934.621
13522000 934.409
13523000 934.278
13524000 934.32
13525000 934.399
13526000 934.624
13527000 934.839
13528000 934.995
13529000 935.046
13530000 935.071
13531000 935.308
13532000 935.369
13533000 935.417
13534000 935.493
13535000 935.652
13536000 935.737
13537000 935.792
13538000 935.828
13539000 936.028
13540000 936.064
13541000 936.277
13542000 936.555
13543000 936.756
13544000 936.998
13545000 937.131
13546000 937.186
13547000 937.342
13548000 937.272
13549000 937.311
13550000 937.511
13551000 937.511
13552000 937.435
13553000 937.533
13554000 937.514
13555000 937.634
13556000 937.867
13557000 937.925
13558000 938.031
13559000 938.322
13560000 938.582
13561000 938.659
13562000 938.664
13563000 938.456
13564000 938.318
13565000 938.256
13566000 938.217
13567000 938.212
13568000 938.107
13569000 937.98
13570000 937.971
13571000 937.987
13572000 938.193
13573000 938.425
13574000 938.385
13575000 938.209
13576000 938.165
13577000 938.228
13578000 938.286
13579000 938.464
13580000 938.644
13581000 938.756
13582000 938.82
13583000 938.868
13584000 938.84
13585000 938.809
13586000 938.777
13587000 938.78
13588000 938.749
13589000 938.734
13590000 938.704
13591000 938.678
13592000 938.617
13593000 938.816
13594000 938.943
13595000 938.93
13596000 939.02
13597000 938.964
13598000 938.935
13599000 938.929
13600000 938.952
13601000 939.08
13602000 939.176
13603000 939.327
13604000 939.624
13605000 939.917
13606000 940.156
13607000 940.144
13608000 940.166
13609000 940.151
13610000 940.335
13611000 940.385
13612000 940.704
13613000 940.867
13614000 940.988
